City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Saint George,US,37.1041,-113.5841,47.43,49,0,6.91,clear sky
335,Luderitz,NA,-26.6481,15.1594,67.57,82,9,13.69,clear sky
336,Qarchi Gak,AF,37.04,66.7889,26.47,79,100,3.78,overcast clouds
337,Maua,BR,-23.6678,-46.4614,76.8,91,100,8.9,overcast clouds
338,Tomatlan,MX,19.9333,-105.25,82.76,39,90,8.59,overcast clouds
339,Marquette,US,46.5333,-87.6335,29.82,85,100,7.78,overcast clouds
340,Souillac,MU,-20.5167,57.5167,80.98,83,75,18.41,light rain
341,Port-Cartier,CA,50.0334,-66.8654,35.82,97,100,6.6,snow
342,Nelson Bay,AU,-32.7167,152.15,71.65,97,100,8.01,light rain
343,Assiniboia,CA,49.6334,-105.9845,28.22,93,91,2.3,overcast clouds
344,Sampit,ID,-2.5333,112.95,72.93,99,100,1.77,overcast clouds
345,Durban,ZA,-29.8579,31.0292,80.92,93,25,3.0,scattered clouds
346,Nkhotakota,MW,-12.9274,34.2961,71.94,91,100,1.07,moderate rain
347,Yako,BF,12.9667,-2.2667,75.47,13,0,9.33,clear sky
348,Sterling,US,39.0062,-77.4286,57.43,55,40,13.8,scattered clouds
349,Santa Cruz De Tenerife,ES,28.4682,-16.2546,66.72,92,75,10.36,broken clouds
350,Yulara,AU,-25.2406,130.9889,74.61,46,0,17.36,clear sky
351,Bogovarovo,RU,58.9785,47.0246,17.01,91,63,9.06,broken clouds
352,Novo Aripuana,BR,-5.1206,-60.3797,73.49,88,100,3.56,overcast clouds
353,Dongzhen,CN,22.3797,110.9389,49.26,83,0,4.12,clear sky
354,Cockburn Town,TC,21.4612,-71.1419,76.06,60,14,13.89,few clouds
355,Goleta,TN,36.8181,10.305,53.6,54,40,12.66,thunderstorm
356,Genhe,CN,50.7833,121.5167,-12.64,100,100,1.25,overcast clouds
357,Wamba,NG,8.9333,8.6,77.65,22,79,2.8,broken clouds
358,Hobyo,SO,5.3505,48.5268,76.84,79,76,19.1,broken clouds
359,Macapa,BR,0.0389,-51.0664,80.58,83,75,4.61,broken clouds
360,Kijang,KR,35.2442,129.2139,29.93,57,0,5.66,clear sky
